epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,59.8439,0.47309,0.81236,0.89588,0.5555,0.32143,0.41079,0.30582,1.18564,3.66395,1.87533,0.000376226,0.000376226,0.000376226
42,61.0708,0.48714,0.88972,0.93112,0.73099,0.23772,0.53486,0.31783,1.13698,3.52133,1.84577,0.000379196,0.000379196,0.000379196
43,62.5852,0.49216,0.90417,0.91282,0.73099,0.23772,0.53486,0.31783,1.13698,3.52133,1.84577,0.000381862,0.000381862,0.000381862
44,64.0518,0.48256,0.78068,0.90629,0.91242,0.2381,0.40402,0.33796,1.03605,3.2113,1.67885,0.000384224,0.000384224,0.000384224
45,65.1449,0.53751,0.98069,0.88809,0.91242,0.2381,0.40402,0.33796,1.03605,3.2113,1.67885,0.000386281,0.000386281,0.000386281
46,66.2197,0.50929,0.77974,0.88758,0.73245,0.53117,0.51354,0.40533,0.95712,2.73189,1.54804,0.000388034,0.000388034,0.000388034
47,67.3919,0.57827,0.84856,0.93637,0.73245,0.53117,0.51354,0.40533,0.95712,2.73189,1.54804,0.000389482,0.000389482,0.000389482
48,68.4549,0.51176,0.72329,0.95027,0.89844,0.54762,0.62471,0.47668,0.89009,2.03654,1.63141,0.000390625,0.000390625,0.000390625
49,69.4439,0.45927,0.70333,0.89935,0.89844,0.54762,0.62471,0.47668,0.89009,2.03654,1.63141,0.000391464,0.000391464,0.000391464
50,70.5341,0.48491,0.76419,0.89398,0.88983,0.54762,0.6004,0.46722,0.87843,1.86615,1.73229,0.000391999,0.000391999,0.000391999
51,71.5866,0.5161,0.87306,0.89489,0.88983,0.54762,0.6004,0.46722,0.87843,1.86615,1.73229,0.000388345,0.000388345,0.000388345
52,72.639,0.57672,0.82001,0.95633,0.65476,0.57143,0.69764,0.53227,0.88078,1.7018,1.78006,0.000380732,0.000380732,0.000380732
53,73.6634,0.49674,0.70376,0.91679,0.65476,0.57143,0.69764,0.53227,0.88078,1.7018,1.78006,0.000373119,0.000373119,0.000373119
54,75.2473,0.4615,0.69404,0.90945,0.6874,0.67857,0.68527,0.50833,1.05127,1.83562,1.92837,0.000365506,0.000365506,0.000365506
55,76.7456,0.44137,0.66624,0.89478,0.6874,0.67857,0.68527,0.50833,1.05127,1.83562,1.92837,0.000357893,0.000357893,0.000357893
56,78.0213,0.49426,0.65863,0.88848,0.79995,0.75114,0.72761,0.5013,1.15278,1.67667,1.96962,0.00035028,0.00035028,0.00035028
57,79.1108,0.49535,0.61624,0.93079,0.79995,0.75114,0.72761,0.5013,1.15278,1.67667,1.96962,0.000342666,0.000342666,0.000342666
58,80.1992,0.49958,0.69872,0.92538,0.80901,0.68581,0.66685,0.42126,1.13538,1.88379,1.82681,0.000335053,0.000335053,0.000335053
59,81.2049,0.47373,0.62834,0.88325,0.80901,0.68581,0.66685,0.42126,1.13538,1.88379,1.82681,0.00032744,0.00032744,0.00032744
60,82.3796,0.54851,0.74723,0.96419,0.83266,0.69058,0.67189,0.43052,1.07442,1.96988,1.70118,0.000319827,0.000319827,0.000319827
61,83.4835,0.46873,0.57706,0.86198,0.83266,0.69058,0.67189,0.43052,1.07442,1.96988,1.70118,0.000312214,0.000312214,0.000312214
62,84.6062,0.47733,0.67742,0.8906,0.67471,0.74341,0.67153,0.48533,1.05276,2.01935,1.62256,0.000304601,0.000304601,0.000304601
63,85.6577,0.47405,0.65641,0.89521,0.67471,0.74341,0.67153,0.48533,1.05276,2.01935,1.62256,0.000296988,0.000296988,0.000296988
64,86.8201,0.48029,0.64807,0.90829,0.79438,0.57138,0.68403,0.52744,0.9152,1.93739,1.42704,0.000289375,0.000289375,0.000289375
65,88.5561,0.47019,0.70239,0.9069,0.79438,0.57138,0.68403,0.52744,0.9152,1.93739,1.42704,0.000281762,0.000281762,0.000281762
66,89.8988,0.47705,0.64301,0.88579,0.93268,0.55208,0.76646,0.54641,0.85532,1.71432,1.64041,0.000274148,0.000274148,0.000274148
67,91.0528,0.51794,0.6981,0.94793,0.93268,0.55208,0.76646,0.54641,0.85532,1.71432,1.64041,0.000266535,0.000266535,0.000266535
68,92.211,0.47735,0.53094,0.89433,0.92413,0.54716,0.75972,0.54812,0.90426,1.80027,1.66336,0.000258922,0.000258922,0.000258922
69,93.8348,0.43828,0.59867,0.89512,0.92413,0.54716,0.75972,0.54812,0.90426,1.80027,1.66336,0.000251309,0.000251309,0.000251309
70,95.4768,0.41887,0.65386,0.88722,0.96023,0.54762,0.70765,0.51609,0.8748,1.87024,1.59384,0.000243696,0.000243696,0.000243696
71,96.5078,0.44152,0.62652,0.90361,0.96023,0.54762,0.70765,0.51609,0.8748,1.87024,1.59384,0.000236083,0.000236083,0.000236083
72,97.6398,0.46473,0.60021,0.88138,0.94482,0.54762,0.64968,0.48647,0.89254,1.93247,1.61668,0.00022847,0.00022847,0.00022847
73,98.6763,0.64395,0.89771,0.95611,0.94482,0.54762,0.64968,0.48647,0.89254,1.93247,1.61668,0.000220857,0.000220857,0.000220857
74,99.9875,0.41026,0.52765,0.89628,0.91227,0.54762,0.61939,0.45178,0.94054,2.13018,1.70563,0.000213244,0.000213244,0.000213244
75,101.506,0.39807,0.5906,0.90118,0.91227,0.54762,0.61939,0.45178,0.94054,2.13018,1.70563,0.000205631,0.000205631,0.000205631
